Comment,Designator,Footprint,LCSC
"MountingHole","H1,H2,H3,H4,H5","MountingHole:MountingHole_2.5mm",""
"Micro_SD_Card","J1","Other footprints:Conn_uSDcard","C164170"
"Conn_02x20_Odd_Even","J2","Connector_PinSocket_2.00mm:PinSocket_2x20_P2.00mm_Vertical",""
"TERM_ENABLE_GND","JP1","Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm",""
"TERM_VCC_ENABLE","JP2","Jumper:SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm_NumberLabels",""
"330","R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18","Resistor_SMD:R_0805_2012Metric","C365291"
"220","R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36","Resistor_SMD:R_0805_2012Metric","C163392"
"YAAJ_BluePill_Part_Like","U1","Footprints:YAAJ_BluePill_2",""
